"","playerShort","player","club","leagueCountry","birthday","height","weight","position","games","victories","ties","defeats","goals","yellowCards","yellowReds","redCards","photoID","rater1","rater2","refNum","refCountry","Alpha_3","meanIAT","nIAT","seIAT","meanExp","nExp","seExp","avrate","age","cards"
"1","sejad-salihovic","Sejad Salihović","1899 Hoffenheim","Germany",1984-10-08,180,81,"Middle",2,1,1,0,1,0,0,0,"23236.jpg",0.25,0.25,2204,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,28.2520547945205,"0"
"2","stefan-kiessling","Stefan Kießling","Bayer Leverkusen","Germany",1984-01-25,191,80,"Front",1,0,0,1,0,0,0,0,"9812.jpg",0,0,570,"27","ROU",0.38508214844892,537,0.000755687454294523,0.859430604982206,562,0.00361995809917579,0,28.9561643835616,"0"
"3","danijel-aleksic","Danijel Aleksić","AS Saint-Étienne","France",1991-04-30,181,77,"Front",1,1,0,0,0,0,0,0,"93392.jpg",0.25,0.25,2720,"93","WALES",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.25,21.6904109589041,"0"
"4","cedric-makiadi","Cédric Makiadi","SC Freiburg","Germany",1984-02-23,177,77,"Middle",3,0,3,0,0,0,0,0,"11781.jpg",0.75,0.75,1824,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.75,28.8767123287671,"0"
"5","richard-strebinger","Richard Strebinger","Werder Bremen","Germany",1993-02-14,194,90,"Goalkeeper",1,0,0,1,0,0,0,0,"170281.jpg",0,0,2782,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,19.8931506849315,"0"
"6","loic-remy","Loïc Rémy","Olympique Marseille","France",1987-01-02,184,66,"Front",1,0,1,0,0,0,0,0,"60737.jpg",0.5,0.75,641,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.625,26.0164383561644,"0"
"7","brad-guzan","Brad Guzan","Aston Villa","England",1984-09-09,193,95,"Goalkeeper",1,0,0,1,0,0,0,0,"30505.jpg",0,0,2759,"57","AUT",0.337539293106427,1319,0.000331326009106019,0.394139194139194,1365,0.00171672097335431,0,28.3315068493151,"0"
"8","mesut-oezil","Mesut Özil","Real Madrid","Spain",1988-10-15,183,76,"Middle",4,4,0,0,1,0,0,0,"43165.jpg",0,0.25,2449,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.125,24.2301369863014,"0"
"9","sotirios-kyrgiakos","Sotirios Kyrgiakos","VfL Wolfsburg","Germany",1979-07-23,193,88,"Back",1,0,1,0,0,0,0,0,"8242.jpg",0.25,0.25,2546,"57","AUT",0.337539293106427,1319,0.000331326009106019,0.394139194139194,1365,0.00171672097335431,0.25,33.4684931506849,"0"
"10","slobodan-rajkovic","Slobodan Rajković","Hamburger SV","Germany",1989-02-03,191,88,"Back",1,0,0,1,0,0,0,0,"37918.jpg",0,0,163,"65","ISR",0.379423514616172,925,0.000463753211371217,0.559375,960,0.00192721194843895,0,23.9260273972603,"0"
"11","knowledge-musona","Knowledge Musona","FC Augsburg","Germany",1990-06-21,174,68,"Front",1,0,1,0,0,0,0,0,"152583.jpg",0.75,0.75,2939,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.75,22.5479452054795,"0"
"12","chu-young-park","Chu-Young Park","Celta Vigo","Spain",1985-07-10,183,70,"Front",1,1,0,0,1,0,0,0,"49226.jpg",0.25,0.5,2273,"27","ROU",0.38508214844892,537,0.000755687454294523,0.859430604982206,562,0.00361995809917579,0.375,27.4986301369863,"0"
"13","emir-spahic","Emir Spahić","Sevilla FC","Spain",1980-08-18,185,80,"Back",2,1,0,1,0,0,1,0,"14358.jpg",0.25,0.25,560,"69","CYP",0.36547663571814,285,0.00144590847799656,0.768707482993197,294,0.00698110736179092,0.25,32.3945205479452,"1"
"14","petr-cech","Petr Čech","Chelsea FC","England",1982-05-20,197,87,"Goalkeeper",1,1,0,0,0,0,0,0,"7965.jpg",0.25,0.25,673,"51","SRB",0.282037146784089,114,0.00372487795629237,0.420168067226891,119,0.0176574259711266,0.25,30.641095890411,"0"
"15","ludovic-giuly","Ludovic Giuly","FC Lorient","France",1976-07-10,164,62,"Front",3,1,1,1,1,0,0,0,"11606.jpg",0.25,0.25,2777,"48","ITA",0.386174222081355,1761,0.000231960305102268,0.529815303430079,1895,0.00109116754271949,0.25,36.5041095890411,"0"
"16","mario-goetze","Mario Götze","Borussia Dortmund","Germany",1992-06-03,176,64,"Middle",1,1,0,0,0,0,0,0,"157899.jpg",0,0.5,100,"50","MKD",0.3271389917512,170,0.00236241907009793,0.959537572254335,173,0.0147943895966183,0.25,20.5945205479452,"0"
